date,description,amount,category
2026-01-29,swiggy order,964,food
2026-02-05,random expense,16825,income
2026-01-09,misc payment,2119,food
2026-01-07,online order,1768,shopping
2026-02-26,electricity bill,703,bills
2026-04-19,netflix subscription,1428,entertainment
2026-01-27,canteen lunch,1458,food
2026-03-09,coffee cafe,561,food
2026-04-07,dinner with friends,2624,food
2026-04-03,amazon purchase,237,shopping
2026-02-28,netflix subscription,463,entertainment
2026-04-08,spotify subscription,716,entertainment
2026-04-05,spotify subscription,2924,entertainment
2026-01-19,online order,1052,shopping
2026-02-11,wifi bill,2854,bills
2026-03-25,zomato order,1342,food
2026-04-13,general spending,920,entertainment
2026-05-08,monthly recharge,635,bills
2026-03-09,auto ride,2257,travel
2026-03-09,bonus,14861,income
2026-02-26,uber ride,242,travel
2026-01-29,trip expense,1779,travel
2026-01-17,monthly recharge,2217,bills
2026-03-06,amazon purchase,2836,shopping
2026-01-30,pocket money,14146,income
2026-01-29,gaming,63,entertainment
2026-03-09,online order,485,shopping
2026-03-18,freelance payment,8008,income
2026-04-06,auto ride,52,travel
2026-03-24,general spending,1309,bills
2026-03-03,coffee cafe,372,food
2026-01-22,internship stipend,7120,income
2026-02-02,freelance payment,11685,income
2026-05-16,flipkart order,2258,shopping
2026-02-21,pocket money,17355,income
2026-05-13,misc payment,312,bills
2026-03-28,swiggy order,2460,food
2026-02-26,random expense,987,food
2026-01-18,zomato order,2155,food
2026-03-02,netflix subscription,2258,entertainment
2026-02-03,bonus,10962,income
2026-05-02,electricity bill,2749,bills
2026-04-21,gaming,271,entertainment
2026-01-26,canteen lunch,497,food
2026-03-05,metro card recharge,624,travel
2026-04-19,ola cab,358,travel
2026-04-24,random expense,432,shopping
2026-03-02,metro card recharge,925,travel
2026-04-13,zomato order,1649,food
2026-03-09,monthly recharge,684,bills
2026-02-18,movie tickets,2422,entertainment
2026-05-19,zomato order,255,food
2026-05-30,wifi bill,282,bills
2026-05-11,zomato order,2487,food
2026-01-18,bonus,6928,income
2026-05-26,uber ride,2586,travel
2026-01-21,mobile recharge,1118,bills
2026-02-22,freelance payment,11703,income
2026-04-12,bus ticket,1922,travel
2026-03-22,random expense,350,food
2026-05-18,ola cab,1479,travel
2026-01-18,ola cab,1844,travel
2026-05-20,internship stipend,12810,income
2026-01-27,uber ride,2316,travel
2026-02-09,netflix subscription,2989,entertainment
2026-03-29,bus ticket,2120,travel
